"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2018,5,107612818,1,9,9863704
2018,5,107617815,1,11,9860846
2018,16,107620839,1,1,9863750
2018,5,107617986,0.9,1,9860876
2018,5,107618202,1,3,9860905
2018,5,107618211,1,3,9860906
2018,5,107613116,1,3,9855337
2018,16,107621292,1,9,9863816
2018,5,107618255,2,3,9860922
2018,12,106753179,,,9726969
2018,5,106758220,19,1,9726970
2018,1,106753442,0.013,3,9727006
2018,13,106761662,0.01,3,9725002
2018,16,106761662,1,9,9727010
2018,5,106758443,1,11,9725017
2018,12,106753584,12.5,1,9727035
2018,12,106761753,215.3,1,9727040
2018,5,106753782,1,1,9727066
2018,5,106764265,0.1,1,9727193
2018,16,106764334,5,9,9725182
2018,12,106762264,0.5,3,9715658
2018,5,106762286,3.27,1,9725186
2018,12,106762286,5.75,1,9727216
2018,5,106762510,1,1,9715685
2018,12,106769368,1,1,9725234
2018,12,106764853,1,9,9725240
2018,5,106762643,1,3,9715709
2018,12,105122780,0.1,1,9358474
2018,5,105117937,1,3,9358666
2018,5,105124888,1,1,9361886
2018,12,105126053,1,1,9358972
2018,5,105126546,1,1,9364115
2018,5,105130393,1,1,9364245
2018,12,105130393,1,9,9364244
2018,5,105126651,1,1,9364145
2018,12,105126695,1,11,9362267
2018,12,105126772,1,1,9364196
2018,12,105130371,1,1,9362328
2018,5,111173106,1,1,10481328
2018,5,111179804,1,3,10481331
2018,5,111179898,0.01,1,10481348
2018,5,111179971,5,1,10481370
