"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2018,105169657,10,,,112545541
2018,105169657,11,8,,112545538
2018,105169667,10,,,112545558
2018,105166036,10,,,112546599
2018,105166036,11,5,,112546597
2018,105169704,10,,,112546600
2018,105166051,28,200,,112546625
2018,105169726,10,,,112546635
2018,105169756,11,1,,112546668
2018,105166101,63,250,,112546686
2018,105169889,25,50,,112546833
2018,105169889,20,25,,112545857
2018,105169917,20,16000,,112545898
2018,105169937,19,13,,112546907
2018,105166305,20,806,,112550951
2018,105169971,26,100,,112546971
2018,105169971,38,400,,112550978
2018,105166361,11,1,,112551000
2018,105166361,10,,,112546995
2018,105170006,51,0,,112551021
2018,105166399,11,1,,112547034
2018,105166399,10,,,112547032
2018,105170067,10,,,112547114
2018,105166454,2,1,28-JUN-18,112547135
2018,105166454,60,1450,28-JUN-18,112551106
2018,105166454,7,1,28-JUN-18,112547137
2018,105166454,61,2,28-JUN-18,112551107
2018,109291403,57,4000,,117851419
2018,109286569,16,2,,117856100
2018,109286569,26,225,,117851437
2018,109291428,26,150,,117856093
2018,109286569,20,1000,,117851436
2018,109286569,63,500,,117851438
2018,109286569,7,600,,117856098
2018,109291456,63,1,,117856132
2018,109291456,36,1,,117851442
2018,109291468,63,15359,,117856157
2018,109286584,3,3000,21-DEC-18,117851453
2018,109291471,3,3000,,117856159
2018,109291602,47,0,,117856328
2018,109291602,6,125,,117856324
2018,109291602,20,20,,117856325
2018,109291619,20,5,,117851556
2018,109286662,20,150,,117851565
2018,109286669,16,50,20-DEC-18,117851578
2018,109286669,17,200,20-DEC-18,117851579
2018,109286669,63,5,21-DEC-18,117851581
2018,109286670,20,1000,,117851586
2018,109286669,7,400,21-DEC-18,117856405
2018,109286669,8,40,21-DEC-18,117851577
2018,109286670,7,400,,117851582
2018,109286670,63,5,,117851588
2018,109286670,17,200,,117851585
2018,109286669,61,50,21-DEC-18,117851580
2018,109286670,8,40,,117851583
2018,109286670,61,50,,117851587
2018,109286670,16,50,,117851584
2018,109291659,11,5,,117856418
2018,109291659,10,,,117851597
2018,109286702,35,20,,117856480
2018,109291727,6,32,,117856535
2018,109291724,6,32,29-DEC-18,117856528
2018,109286720,20,600,,117851663
2018,109286723,10,,,117851666
2018,109286724,10,,,117856562
2018,109291761,3,100,31-DEC-18,117856574
2018,109291764,3,7000,,117856575
2018,109291808,6,75,,117851701
2018,109292085,38,400,,117856974
2018,109286863,11,10,,117851859
2018,109286863,10,,,117851858
2018,109286880,11,7,,117851878
2018,109292150,58,600,,117857062
2018,109286880,10,,,117851877
2018,109292160,63,22,,117851883
2018,109292157,61,400,10-DEC-18,117851881
2018,109286887,61,400,,117857077
2018,109286889,54,189,,117851887
2018,109286895,29,1,,117857106
2018,109292211,10,1,,117851910
2018,109292216,23,10000,,117857142
2018,109286912,19,1,,117851924
2018,109286919,61,2200,,117857172
